,Question,Category,Answer,answer_class
0,Какие документы выдает учебное заведение после окончания обучения?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
1,Где можно получить информацию о сертификатах после завершения курса?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
2,Какие документы мне необходимо получить после завершения обучения для подтверждения компетенций?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
3,Где я могу запросить выписку об обучении и полученных сертификатах?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
4,Какие шаги необходимо предпринять для получения документов об обучении?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
5,Где я могу ознакомиться с процедурой получения удостоверения после окончания курса?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
6,Как происходит процесс выдачи документов о завершении образовательной программы?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
7,Какие документы выдаются после прохождения обучения?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
8,Где можно ознакомиться с полученными документами после окончания курса?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
9,Есть ли возможность заказать дополнительные документы о прохождении обучения?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
10,"Какие данные содержит документ, подтверждающий успешное обучение?",Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
11,Какие преимущества предоставляются с документом о завершении обучения?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
12,"Можно ли получить копию документа, подтверждающего уровень компетенций?",Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
13,Какие сроки выдачи документов после окончания обучения?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
14,Есть ли возможность получить электронную версию документа о прохождении обучения?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
15,Какие меры безопасности применяются при выдаче документов об обучении?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
16,"Какую информацию содержат дополнительные документы, выдаваемые вместе с основным?",Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
17,Какие документы я получу после завершения обучения?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
18,Какие удостоверения могут быть выданы по результатам прохождения курсов?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
19,Какие аккредитации будут предоставлены после успешного освоения программы обучения?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
20,"Какие сертификаты я смогу получить, проходя обучение?",Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
21,Какие документы будут выданы в качестве подтверждения выполнения курсов?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
22,С какими удостоверениями я могу рассчитывать после прохождения обучающих мероприятий?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
23,Какие формы подтверждения моих компетенций будут доступны по окончании учебной программы?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
24,Какие требования нужно выполнить для получения итогового документа об образовании?,Документы,"Чтобы получить итоговый документ, нужно сдать итоговую и все промежуточные аттестации. По их результатам оцениваются компетенции, которые важны для итогового документа.",1
25,Какие аттестации необходимо сдать для окончательного получения документа об образовании?,Документы,"Чтобы получить итоговый документ, нужно сдать итоговую и все промежуточные аттестации. По их результатам оцениваются компетенции, которые важны для итогового документа.",1
26,Какие компетенции оцениваются в процессе получения итогового документа?,Документы,"Чтобы получить итоговый документ, нужно сдать итоговую и все промежуточные аттестации. По их результатам оцениваются компетенции, которые важны для итогового документа.",1
27,"Какие шаги нужно предпринять, чтобы успешно завершить процесс получения документа об образовании?",Документы,"Чтобы получить итоговый документ, нужно сдать итоговую и все промежуточные аттестации. По их результатам оцениваются компетенции, которые важны для итогового документа.",1
28,Какие документы необходимо предоставить для оформления итогового документа об образовании?,Документы,"Чтобы получить итоговый документ, нужно сдать итоговую и все промежуточные аттестации. По их результатам оцениваются компетенции, которые важны для итогового документа.",1
29,Как оцениваются результаты промежуточных аттестаций в контексте получения итогового документа?,Документы,"Чтобы получить итоговый документ, нужно сдать итоговую и все промежуточные аттестации. По их результатам оцениваются компетенции, которые важны для итогового документа.",1
30,Как долго обычно занимает процесс получения итогового документа об образовании?,Документы,"Чтобы получить итоговый документ, нужно сдать итоговую и все промежуточные аттестации. По их результатам оцениваются компетенции, которые важны для итогового документа.",1
31,Какие аттестации необходимо сдать для получения итогового документа?,Документы,"Чтобы получить итоговый документ, нужно сдать итоговую и все промежуточные аттестации. По их результатам оцениваются компетенции, которые важны для итогового документа.",1
32,Можно ли обойти процесс сдачи промежуточных и итоговых аттестаций при получении диплома?,Документы,"Чтобы получить итоговый документ, нужно сдать итоговую и все промежуточные аттестации. По их результатам оцениваются компетенции, которые важны для итогового документа.",1
33,Какие компетенции оцениваются на промежуточных и итоговых аттестациях?,Документы,"Чтобы получить итоговый документ, нужно сдать итоговую и все промежуточные аттестации. По их результатам оцениваются компетенции, которые важны для итогового документа.",1
34,Какие последствия может иметь несдача промежуточных или итоговых аттестаций?,Документы,"Чтобы получить итоговый документ, нужно сдать итоговую и все промежуточные аттестации. По их результатам оцениваются компетенции, которые важны для итогового документа.",1
35,Какие документы оцениваются на промежуточных и итоговых аттестациях?,Документы,"Чтобы получить итоговый документ, нужно сдать итоговую и все промежуточные аттестации. По их результатам оцениваются компетенции, которые важны для итогового документа.",1
36,Можно ли заменить сдачу аттестаций другими видами документов?,Документы,"Чтобы получить итоговый документ, нужно сдать итоговую и все промежуточные аттестации. По их результатам оцениваются компетенции, которые важны для итогового документа.",1
37,"Существуют ли исключения, когда можно получить диплом без прохождения аттестаций?",Документы,"Чтобы получить итоговый документ, нужно сдать итоговую и все промежуточные аттестации. По их результатам оцениваются компетенции, которые важны для итогового документа.",1
38,Какие аттестации необходимо сдать для получения итогового документа после обучения?,Документы,"Чтобы получить итоговый документ, нужно сдать итоговую и все промежуточные аттестации. По их результатам оцениваются компетенции, которые важны для итогового документа.",1
