,Question,Category,Answer,answer_class
0,Где можно получить документ о прохождении обучения и успешном завершении курса?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
1,Какие сертификаты выдает учебное заведение после окончания обучения?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
2,Какие документы выдает учебное заведение выпускникам?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
3,Где можно ознакомиться с информацией о получении учебных документов после окончания курса?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
4,Какие процедуры нужно пройти для получения официальных документов о завершении обучения?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
5,Каким образом можно получить подтверждение своих компетенций после обучения?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
6,В каком формате предоставляются документы об успешном прохождении обучения и сдаче экзаменов?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
7,Какие документы необходимо предъявить для получения сертификатов о завершении обучения?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
8,Где можно ознакомиться с требованиями к оформлению документов после завершения курса?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
9,Как долго занимает процесс получения документов о завершении обучения?,Документы,"После успешного прохождения выпускных испытаний вы получите документ, подтверждающий уровень ваших компетенций. Подробнее - https://gb.ru/academiccertificates",0
